Company,Strategy,Investment Approach,AUM (INR Cr.),1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,4 Year,5 Year,Since Inception
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Barclays Discretionary Multi Asset Class Moderately Aggressive,41.80393,2.68,4.5,10.78,11.92,17.33,0,0,0,12.46
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Benchmark: NSE Multi Asset Index 2$,,2.58,3.49,7.58,8.09,15.5,0,0,0,15.18
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Barclays Discretionary Multi Asset Class Moderately Conservative,3.56929,1.4,0,0,0,0,0,0,0,0.38
BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED INP000002585,MULTI ASSET,Benchmark: NSE Multi Asset Index 2$,,2.58,3.49,7.58,8.09,15.5,0,0,0,15.18
DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED INP000002825,MULTI ASSET,,,,,,,,,,,
DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED INP000002825,MULTI ASSET,Combination of Growth and Income,857.02149,1.73,1.96,4.51,6.14,10.05,8.57,7.17,7.66,7.86
DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED INP000002825,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,14.51
Multi-Act Equity Consultancy Pvt Ltd INP000002965,MULTI ASSET,,,,,,,,,,,
Multi-Act Equity Consultancy Pvt Ltd INP000002965,MULTI ASSET,All Seasons Portfolio,150.33,2.58,5.19,9.9,15.67,19.28,16.07,12.85,14.4,12.75
Multi-Act Equity Consultancy Pvt Ltd INP000002965,MULTI ASSET,Benchmark: NSEMULTIASSET,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,11.14
HARMONEY FINSERV INDIA PRIVATE LIMITED INP000003898,MULTI ASSET,,,,,,,,,,,
HARMONEY FINSERV INDIA PRIVATE LIMITED INP000003898,MULTI ASSET,INTELLECT,114.9592,4.29,9.3,12.85,14.51,19.05,16.14,13.17,16.49,10.31
HARMONEY FINSERV INDIA PRIVATE LIMITED INP000003898,MULTI ASSET,Benchmark: NiftyMultiAsset-Equity:Debt:Arbitrage:Reits/Invits,,2.58,3.49,7.58,8.09,15.5,12.73,10.63,14.65,11.47
HARMONEY FINSERV INDIA PRIVATE LIMITED INP000003898,MULTI ASSET,PROSPECT,22.6169,1.48,5.73,15,8.64,14.03,17.11,14.75,19.09,11.61
HARMONEY FINSERV INDIA PRIVATE LIMITED INP000003898,MULTI ASSET,Benchmark: NiftyMultiAsset-Equity:Debt:Arbitrage:Reits/Invits,,2.58,3.49,7.58,8.09,15.5,12.73,10.63,14.65,11.35
ICICI Securities Limited INP000004060,MULTI ASSET,,,,,,,,,,,
ICICI Securities Limited INP000004060,MULTI ASSET,I-Sec Multifactor Portfolio,128.03,4.41,4.26,6.96,-1.93,16.63,0,0,0,17.49
ICICI Securities Limited INP000004060,MULTI ASSET,Benchmark: NIFTY50TRI,,4.62,4.15,6.69,7.59,17.52,0,0,0,15.31
ICICI Securities Limited INP000004060,MULTI ASSET,ISEC Multi Asset Growth Portfolio,10.71,3.97,3.83,8.91,3.03,19.72,16.53,12.16,0,14.22
ICICI Securities Limited INP000004060,MULTI ASSET,Benchmark: NSEMULTIIND2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,0,11.81
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,,,,,,,,,,,
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,RHPMPL ALL SEASON FUND,37.19,4.09799,4.86004,11.02302,8.23877,17.7455,15.53603,12.08113,17.52842,15.45
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,12.9
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,RHPMPL ALLIANCE PORTFOLIO,150.77,2.48081,2.3053,6.4407,3.37093,16.39002,17.1386,12.55754,16.6082,9.19
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,11
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,RHPMPL MULTI ASSET PORTFOLIO,360.54,3.08964,3.26601,7.30142,8.11988,12.59514,10.54997,8.02434,10.98748,8.09
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,11.9
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,RHPMPL YIELD MULTIPLIER I,11.53,0.01,0.04,0.07,0.13,0.03,0.04,0.09,0.08,2.95
Right Horizons Portfolio Management Private Limited INP000004359,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,11.97
MOTILAL OSWAL WEALTH LIMITED INP000004409,MULTI ASSET,,,,,,,,,,,
MOTILAL OSWAL WEALTH LIMITED INP000004409,MULTI ASSET,DELPHI All WEATHERSTRATEGY,12.01942,1.99,5.97,0,0,0,0,0,0,6.07
MOTILAL OSWAL WEALTH LIMITED INP000004409,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,0,0,0,0,0,0,2.39
MOTILAL OSWAL WEALTH LIMITED INP000004409,MULTI ASSET,MOWPL - Delphi Alpha Strategist Advantage Portfolio,533.02748,2.92,8.73,15.36,19.54,22.31,18.1,13.49,0,13.8
MOTILAL OSWAL WEALTH LIMITED INP000004409,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,0,13.38
Moat Financial Services Private Limited INP000004482,MULTI ASSET,,,,,,,,,,,
Moat Financial Services Private Limited INP000004482,MULTI ASSET,UpperCrust Growth Fund,48.95,1.86,4.52,11.03,4.41,24.46,21.73,0,0,18.21
Moat Financial Services Private Limited INP000004482,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.37,12.69,0,0,11.63
360 ONE Asset Management Limited INP000004565,MULTI ASSET,,,,,,,,,,,
360 ONE Asset Management Limited INP000004565,MULTI ASSET,360 One Large Value Strategy Alternates PMS,0,0,0,0,0,0,0,0,0,0
360 ONE Asset Management Limited INP000004565,MULTI ASSET,Benchmark: NIFTYMULTIASS,,2.55,0,0,0,0,0,0,0,3.2
360 ONE Asset Management Limited INP000004565,MULTI ASSET,Customised Discretionary Portfolio - Multi-Asset,2.71,0,1.43,224.98,205.46,70.45,41.46,29.27,28.91,26.22
360 ONE Asset Management Limited INP000004565,MULTI ASSET,Benchmark: NIFTYMULTIASS,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,10.76
Oaks Asset Management Private Limited INP000004888,MULTI ASSET,,,,,,,,,,,
Oaks Asset Management Private Limited INP000004888,MULTI ASSET,OAKS ASSET ALLOCATOR,2.44218,2.35,1.81,4.51,-1.66,9.11,9.77,0,0,8.26
Oaks Asset Management Private Limited INP000004888,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Debt : Arbitrage : REITs/InvITs (50:20:20:10) Index,,2.58,3.49,7.58,8.09,15.51,12.74,0,0,11.91
Buoyant Capital Private Limited INP000005000,MULTI ASSET,,,,,,,,,,,
Buoyant Capital Private Limited INP000005000,MULTI ASSET,Buoyant All-Weather PMS,0.89,2.32,8.93,14.7,14.91,14.15,11.15,0,0,10.64
Buoyant Capital Private Limited INP000005000,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,12.69,0,0,11.65
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,,,,,,,,,,,
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Sanctum Multi Asset Portfolios - Enhancement,11.13,3.08,6.47,10.46,14.5,20.3,16.81,0,0,15.61
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Benchmark: NSEMULTIASSET,,2.58,3.49,7.58,8.09,15.51,12.74,0,0,12.08
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Sanctum Multi Asset Portfolios - Generation,50.11,3.62,6.61,11.28,13.26,23.42,20.73,0,0,16.89
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Benchmark: NSEMULTIASSET,,2.58,3.49,7.58,8.09,15.51,12.74,0,0,10.96
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Sanctum Multi Asset Portfolios - Shield,16.92,2.03,4.87,7.57,13.13,14.84,12.08,0,0,10.03
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Benchmark: NSEMULTIASSET,,2.58,3.49,7.58,8.09,15.51,12.74,0,0,10.96
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Tailored Discretionary Portfolio - Balanced,9.08,3.05,6.31,9.59,13.43,6.5,5.04,4.99,10.8,9.42
SANCTUM WEALTH PRIVATE LIMITED INP000005067,MULTI ASSET,Benchmark: NSEMULTIASSET,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,11.25
Scient Capital Private Limited INP000005166,MULTI ASSET,,,,,,,,,,,
Scient Capital Private Limited INP000005166,MULTI ASSET,DPMS AQUILA Portfolio,14.5,3.67,3.62,9.33,7.16,10.3,7.04,4.98,9.42,5.93
Scient Capital Private Limited INP000005166,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Debt : Arbitrage : RE,,2.58,3.49,7.58,8.09,15.52,12.74,10.64,14.66,11.6
Eklavya Capital Advisors LLP INP000005265,MULTI ASSET,,,,,,,,,,,
Eklavya Capital Advisors LLP INP000005265,MULTI ASSET,LongTermValue,13.4607,1.03,0.29,4.69,8.85,11.45,10.52,8.71,10.56,9.36
Eklavya Capital Advisors LLP INP000005265,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Debt : Arbitrage : REITs/InvITs (50:20:20:10) Index,,2.58,3.49,7.58,8.09,15.51,12.74,10.64,14.66,12.12
Asit C Mehta Investment Interrmediates Limited INP000005801,MULTI ASSET,,,,,,,,,,,
Asit C Mehta Investment Interrmediates Limited INP000005801,MULTI ASSET,Ace Regular Income,17.97,3.11,4.01,11.8,8.49,25.3,31.41,22.72,25.35,17.6
Asit C Mehta Investment Interrmediates Limited INP000005801,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Debt : Arbitrage : RE,,2.58,3.49,7.58,8.09,15.52,12.74,10.64,14.66,12.52
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,,,,,,,,,,,
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,360 ONE Customized Discretionary Portfolio - Balanced,0,0,0,0,0,-112.77,-126.12,-137.04,-147.18,-181.93
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,Benchmark: NSE Multi Asset Index #1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,10.73
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,360 ONE Customized Discretionary Portfolio - Conservative,0,0,0,0,0,0,3.71,4.44,8.75,10.25
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,Benchmark: NSE Multi Asset Index #1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,9.17
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,360 ONE Mandate Aggressive,2061.21,3.3,5.21,8.72,9.14,18.77,15.17,12.13,14.56,11.77
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,Benchmark: NSE Multi Asset Index #1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,12.07
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,360 ONE Mandate Balanced,5183.14,2.29,3.09,11.67,18.3,22.48,17.91,14.14,15.3,9.78
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,Benchmark: NSE Multi Asset Index #1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,9.58
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,360 ONE Mandate Conservative,1087.95,2.45,4.54,7.96,10.25,15.32,12.48,10.34,11.22,10.96
360 ONE PORTFOLIO MANAGERS LIMITED INP000005874,MULTI ASSET,Benchmark: NSE Multi Asset Index #1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,14.66,12.51
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,,,,,,,,,,,
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,Agreya Multi-Asset,333.28,0.02,0.03,0.05,0.09,0.13,0.11,0.09,0.11,0.1
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,"Benchmark: NSE Multi Asset Index 1 (50%: Nifty 500,40%: Nifty 50 Arbitrage Index,10%: REIT and INVIT)",,0.03,0.04,0.08,0.08,0.15,0.13,0.11,0.15,0.12
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,Agreya Multi-Asset Enhancer,84.6,0.02,0.04,0.05,0.13,0.14,0.11,0.1,0.16,0.14
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,"Benchmark: NSE Multi Asset Index 1 (50%: Nifty 500,40%: Nifty 50 Arbitrage Index,10%: REIT and INVIT)",,0.03,0.04,0.08,0.08,0.15,0.13,0.11,0.15,0.12
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,Agreya Portfolio Return Optimiser,78.23,0.03,0.1,0.16,0.16,0.13,0.13,0,0,0.14
Agreya Capital Advisors LLP INP000006077,MULTI ASSET,Benchmark: NIFTY MULTI ASSET-EQUITY : ARBITRAGE : REITS/INVITS 50:40:10,,0.03,0.04,0.08,0.08,0.15,0.13,0,0,0.12
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,,,,,,,,,,,
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,MAP-A,8.76,3.28,6.66,10.8,0,0,0,0,0,10.87
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,Benchmark: NIFTYMULTIARB,,2.55,3.6,7.64,0,0,0,0,0,10.49
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,MAP-B,5.11,2.71,6.2,10.68,10.69,0,0,0,0,10.44
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,Benchmark: NIFTYMULTIARB,,2.55,3.6,7.64,8.03,0,0,0,0,8.04
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,MAP-C,1.75,2.12,5.64,9.54,0,0,0,0,0,10.32
Marcellus Investment Managers Private Limited INP000006183,MULTI ASSET,Benchmark: NIFTYMULTIARB,,2.55,3.6,7.64,0,0,0,0,0,10.3
CONCEPT INVESTWELL PRIVATE LIMITED INP000006323,MULTI ASSET,,,,,,,,,,,
CONCEPT INVESTWELL PRIVATE LIMITED INP000006323,MULTI ASSET,CONCEPT SYMPHONY,0.7185,3.57,3.3,0,0,0,0,0,0,1.69
CONCEPT INVESTWELL PRIVATE LIMITED INP000006323,MULTI ASSET,Benchmark: BSE 500 TRI,,4.27,3.72,0,0,0,0,0,0,1.43
ALPHA ALTERNATIVES FUND ADVISORS LLP INP000006518,MULTI ASSET,,,,,,,,,,,
ALPHA ALTERNATIVES FUND ADVISORS LLP INP000006518,MULTI ASSET,Alpha Alternatives Fund Advisors LLP AA Premium Advantage PMS,25.44,-0.72,-9.13,5,0,0,0,0,0,-41.11
ALPHA ALTERNATIVES FUND ADVISORS LLP INP000006518,MULTI ASSET,Benchmark: NIFTY MULTI ASSET-EQUITY : ARBITRAGE : REITS/INVITS (50:40:10),,2.55,3.6,7.64,0,0,0,0,0,7.89
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,,,,,,,,,,,
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Pace 360 Multi Asset PMS SKG INDIA Value Strategy,3.32,-2.92,-1.68,0.1,-34.68,3.04,0,0,0,1.44
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Arbitrage : REITs/Inv,,2.55,3.6,7.64,8.03,15.37,0,0,0,13.72
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Pace 360 Multi Asset PMS Tresor Flexi,88.99,1.18,8.23,11.75,10.43,16.81,18,15.98,0,14.53
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Arbitrage : REITs/Inv,,2.55,3.6,7.64,8.03,15.37,12.69,10.72,0,12.7
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Pace 360 Multi Asset PMS Tresor Prive,45.99,1.41,2.43,7.6,3.01,9.82,12.31,0,0,12.06
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Arbitrage : REITs/Inv,,2.55,3.6,7.64,8.03,15.37,12.69,0,0,12.87
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Pace 360 Multi Asset PMS Tresor Smart Alpha,3.46,2.45,3.99,8.96,7.55,0,0,0,0,8.65
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Arbitrage : REITs/Inv,,2.55,3.6,7.64,8.03,0,0,0,0,5.93
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Pace 360 Multi Asset PMS Tresor Smart Beta,0.57,1.9,3.74,6.59,0,0,0,0,0,8.72
PACE FINANCIAL INVESTMENT ADVISER PRIVATE LIMITED INP000006998,MULTI ASSET,Benchmark: Nifty Multi Asset - Equity : Arbitrage : REITs/Inv,,2.55,3.6,7.64,0,0,0,0,0,8.59
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,,,,,,,,,,,
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,JULIUS BAER ALL WEATHER PORTFOLIO CORE,12.13,3.04,5.18,8.83,9.86,16.19,13.44,10.58,0,11
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,Benchmark: NIFTYMULTI1,,2.55,3.6,7.64,8.03,15.35,12.69,10.72,0,11.95
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,JULIUS BAER ALL WEATHER PORTFOLIO PLUS,3.69,3.29,5.33,9.56,9.58,16.64,0,0,0,16.07
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,Benchmark: NIFTYMULTI1,,2.55,3.6,7.64,8.03,15.35,0,0,0,15.61
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,JULIUS BAER INDIA SELECT PORTFOLIO,49.14,3.9,7.73,14.33,13.26,0,0,0,0,16.24
Julius Baer Wealth Advisors India Private Limited INP000007012,MULTI ASSET,Benchmark: NIFTYMULTI1,,2.55,3.6,7.64,8.03,0,0,0,0,11.43
Purnartha Investment Advisers Pvt.Ltd. INP000007021,MULTI ASSET,,,,,,,,,,,
Purnartha Investment Advisers Pvt.Ltd. INP000007021,MULTI ASSET,Purnartha One Strategy,11.16801,3.27,1.4,8.84,7.77,12.6,0,0,0,9.83
Purnartha Investment Advisers Pvt.Ltd. INP000007021,MULTI ASSET,Benchmark: NSE Multi Asset Index 2,,2.58,3.49,7.58,8.09,15.51,0,0,0,13.84
Profusion Investment Advisors LLP INP000007173,MULTI ASSET,,,,,,,,,,,
Profusion Investment Advisors LLP INP000007173,MULTI ASSET,MSPMS,12.09,3.25,1.35,3.45,-2.49,11.2,0,0,0,13.98
Profusion Investment Advisors LLP INP000007173,MULTI ASSET,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,17.17
NUVAMA ASSET MANAGEMENT LIMITED INP000007207,MULTI ASSET,,,,,,,,,,,
NUVAMA ASSET MANAGEMENT LIMITED INP000007207,MULTI ASSET,ACCUMULATOR,41.41,3.09,4.48,8.01,4.55,15.2,0,0,0,12.74
NUVAMA ASSET MANAGEMENT LIMITED INP000007207,MULTI ASSET,Benchmark: NSE Multi Asset Index 1,,2.55,3.6,7.64,8.03,15.35,0,0,0,15.14
NUVAMA ASSET MANAGEMENT LIMITED INP000007207,MULTI ASSET,I-Asset,1127.79,2.8,5.34,9.43,9.69,16.2,12.16,10.09,12.65,11.64
